name,highway,maxspeed,latitude,longitude,length,bridge,service,tunnel
,footway,,41.16691704999999,-8.67937145,17.052,,,
,footway,,41.1669705721688,-8.679705547380392,43.86500000000001,,,
,footway,,41.16668792460396,-8.67953419974393,53.818,,,
Rua de João Grave,secondary,50,41.16028715,-8.643974,11.927,,,
Avenida da Boavista,primary,,41.16031125,-8.6437981,25.193,,,
Rua de António Bessa Leite,secondary,,41.160057550000005,-8.64200225,12.528,,,
Avenida da Boavista,primary,,41.15997358813817,-8.641762401874196,50.658,,,
Avenida da Boavista,primary,,41.15896775,-8.63568395,25.621,,,
Rua João de Deus,residential,,41.15902375,-8.6357726,12.442,,,
Rua de Serralves,residential,,41.160770049999996,-8.658139649999999,5.535,,,
Avenida do Marechal Gomes da Costa,secondary,,41.161187455583935,-8.657413389891195,155.212,,,
Rua de Sagres,tertiary,,41.1634748,-8.66307335,10.544,,,
Rua de Sagres,tertiary,,41.163401699999994,-8.6631257,7.933,,,
,footway,,41.1634200335237,-8.663072306943695,5.662,,,
,footway,,41.16345297988805,-8.66315030851561,9.312,,,
Via do Castelo do Queijo,primary,,41.16833045759731,-8.688075101990883,38.733000000000004,,,
Praça Gonçalves Zarco,primary,,41.16829460084224,-8.688232950319398,44.977,,,
,service,,41.16840945,-8.6885892,22.013,,,
,service,,41.16815905777703,-8.688882827237894,98.083,,parking_aisle,
Praça Gonçalves Zarco,primary,,41.168348311917406,-8.688781702815296,56.191,,,
Praça Gonçalves Zarco,primary,,41.167734314303765,-8.689118384400015,124.371,,,
Praça Gonçalves Zarco,primary,,41.1673571721716,-8.688661982639093,11.354,,,
Avenida de Montevideu,primary,,41.16732256515657,-8.68847035832644,22.182000000000002,,,
Praça Gonçalves Zarco,primary,,41.167406916591155,-8.68834349666604,45.223,,,
Avenida de Montevideu,primary,,41.167080999999996,-8.6881029,16.291,,,
Avenida de Montevideu,primary,,41.16733251224498,-8.688163684135668,42.121,,,
Avenida do Brasil,primary,,41.157098149999996,-8.681839,7.98,,,
Avenida do Brasil,primary,,41.1575109614477,-8.682188235611601,100.918,,,
,footway,,41.150769600000004,-8.6770091,4.213,,,
,footway,,41.150751,-8.6770468,3.335,,,
Rua do Coronel Raul Peres,primary,30,41.15030547910496,-8.676537812012741,133.576,,,
Rua do Coronel Raul Peres,primary,30,41.15101681558902,-8.677377637499198,82.369,,,
Rua do Coronel Raul Peres,primary,30,41.15200825,-8.67798475,22.565,,,
,footway,,41.1519113,-8.67793975,3.675,,,
,footway,,41.1519273,-8.677897049999999,4.314,,,
Rua do Coronel Raul Peres,primary,30,41.15177433554571,-8.677846345046484,35.039,,,
,service,,41.14916356291618,-8.67366666080748,46.915,,driveway,
Esplanada do Castelo,primary,30,41.149364773307106,-8.674393785414766,155.77800000000002,,,
Esplanada do Castelo,primary,30,41.149239126945645,-8.673299939500065,35.035,,,
,footway,,41.14768535,-8.6729508,7.909,,,
Avenida Dom Carlos I,unclassified,,41.147595750617285,-8.670631320084672,389.25800000000004,,,
,footway,,41.147619149892954,-8.672956899357553,6.85,,,
Largo de António Cálem,primary,,41.148375362929336,-8.653726613444231,66.575,,,
Rua de Sobreiras,primary,,41.148288537443854,-8.654718447128984,77.37299999999999,,,
Rua de Sobreiras,primary,,41.14756472002679,-8.656221185053198,221.97400000000002,,,
Rua do Passeio Alegre,primary,,41.14751355,-8.6614623,19.663,,,
Rua de Sobreiras,primary,,41.14742817056207,-8.661162247312998,34.189,,,
Rua Eugénio de Andrade,residential,,41.147526971096305,-8.661333312238714,8.985,,,
Rua do Passeio Alegre,primary,,41.147875,-8.6633542,105.928,,,
,service,,41.147964200000004,-8.663942,7.352,,parking_aisle,
Rua do Passeio Alegre,primary,,41.148049608976734,-8.66452140160285,94.172,,,
,service,,41.147374400000004,-8.6667039,4.85,,,
Rua do Passeio Alegre,primary,,41.14737811236818,-8.666868389774065,26.822,,,
Rua do Passeio Alegre,primary,,41.14747581482065,-8.666501253029066,39.513999999999996,,,
Rua de Aleixo da Mota,secondary,,41.1486583,-8.6534181,27.926,,,
"['Rua das Sobreiras', 'Largo de António Cálem']",primary,,41.14866978273826,-8.65368871906711,67.93900000000001,,,
,footway,,41.148484950000004,-8.6541534,4.471,,,
Largo de António Cálem,primary,,41.14845042303468,-8.654152943462524,8.844000000000001,,,
Rua das Condominhas,tertiary,,41.14853335,-8.653217999999999,12.222,,,
Largo de António Cálem,primary,,41.148530550000004,-8.653306,6.152,,,
Rua do Ouro,primary,50,41.14819715,-8.6485969,22.06,,,
Rua do Ouro,primary,50,41.1481219,-8.648827149999999,19.982,,,
,footway,,41.14819766017788,-8.648739781619382,10.058,,,
Rua de Aleixo da Mota,secondary,,41.14888669059216,-8.653615578615346,32.75,,,
,footway,,41.14869603571382,-8.653319353744367,41.257,,,
,footway,,41.14875926950328,-8.653763026201888,44.099,,,
Rua de Sobreiras,primary,,41.14859416696232,-8.65422762991347,17.527,,,
Largo de António Cálem,primary,,41.148561021733094,-8.654174107291531,17.198,,,
Rua do Ouro,primary,50,41.14827325408988,-8.641748267291268,714.8380000000001,,,
Rua do Ouro,primary,50,41.148451330496975,-8.646770935227552,138.49,,,
Rua da Mocidade da Arrábida,residential,,41.149109803505624,-8.646154536508435,170.091,,,
Rua do Ouro,primary,50,41.14824182949869,-8.636728043506482,137.588,,,
Rua do Ouro,primary,50,41.148273254089894,-8.64174826729127,714.8380000000001,,,
Rua do Ouro,primary,50,41.14824182949869,-8.636728043506482,137.58800000000002,,,
Cais do Bicalho,primary,,41.14782043156831,-8.634897133142026,184.599,,,
,living_street,,41.14820698510629,-8.635927620620608,25.378999999999998,,,
,motorway_link,50,41.150654700000004,-8.640562599999999,3.079,,,
,service,,41.15070047026168,-8.641002545944874,77.096,,emergency_access,
Via Panorâmica,secondary,50,41.1509983,-8.63458975,154.579,,,
Via Panorâmica,tertiary_link,30,41.151015492368494,-8.633614082159301,19.524,,,
Via Panorâmica,secondary,,41.151154598826416,-8.633388713950273,51.135999999999996,,,
Via Panorâmica,motorway_link,,41.15048552500467,-8.642756598174227,957.6849999999998,,,
Via de Cintura Interna,motorway,80,41.152723427187446,-8.643926266566218,318.148,,,
Cais do Bicalho,primary,,41.14745695,-8.6338139,13.505,,,
Rua da Boa Viagem,residential,,41.14752751652529,-8.633656919116264,26.512999999999998,,,
Alameda de Basílio Teles,primary,,41.147190821711355,-8.633309838136778,89.678,,,
Alameda de Basílio Teles,primary,,41.14665816637518,-8.632341796034831,111.07199999999999,,,
Rua Dom Pedro V,secondary,,41.14706560534421,-8.632778793877032,29.695,,,
Alameda de Basílio Teles,primary,,41.147190821711355,-8.633309838136778,89.678,,,
Rua de Monchique,primary,,41.144636887650094,-8.6251480208294,277.728,,,
"['Alameda de Basílio Teles', 'Viaduto do Cais das Pedras', 'Rua de Monchique']",primary,50,41.145088972488786,-8.629248713909806,454.34500000000014,yes,,
Rua de Monchique,residential,,41.14494777768764,-8.62807352458703,231.452,,,
Rua da Quinta do Meio,pedestrian,,41.14737883841106,-8.62938055948162,72.598,,,
Rua de Entre Quintas,"['living_street', 'pedestrian']",,41.146509716182656,-8.629079268775467,148.83700000000002,,,building_passage
Rua de Entre Quintas,steps,,41.14735572830826,-8.628923494137197,51.989999999999995,,,
Rua do Infante Dom Henrique,primary,,41.14049000556297,-8.616328912873296,23.473,,,
Rua Nova da Alfândega,primary,50,41.14057513132275,-8.616677256685657,39.354,,,
Muro dos Bacalhoeiros,pedestrian,,41.14045709876681,-8.616470424819068,9.192,,,
Rua do Infante Dom Henrique,primary,,41.14049000556296,-8.616328912873296,23.473,,,
Rua do Infante Dom Henrique,primary,,41.14055829856732,-8.615964009495032,40.813,,,
Rua de São João,residential,,41.141959,-8.6137277,128.326,,,
Rua Clube Fluvial Portuense,primary,,41.141489464941664,-8.613250053880346,34.681,,,
"['Tomaz do Douro', 'Rua de São João']",pedestrian,,41.141026233442396,-8.613239810556308,95.805,,,
Rua do Infante Dom Henrique,primary,,41.141323371019524,-8.613872016310578,79.424,,,
Rua de Mouzinho da Silveira,secondary,50,41.14149705,-8.614546449999999,25.885,,,
Rua de Mouzinho da Silveira,secondary,50,41.1416761,-8.6145411,14.038,,,
Rua da Bolsa,residential,50,41.1416418,-8.61525905,9.088,,,
Rua de Ferreira Borges,residential,50,41.1416777,-8.61531265,7.784,,,
Rua da Bolsa,residential,50,41.14164393857363,-8.615355747783497,7.113999999999999,,,
Via do Castelo do Queijo,primary,,41.16857225,-8.688001450000002,19.559,,,
